what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1433977356578
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1433977356579
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1433977356580
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1433977356580
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1433977356581
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1433977356581
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1433977356582
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1433977356583
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1433977356583
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1433977356583
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1433977356583
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1433977356584
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1433977356585
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1433977356586
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1433977356587
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1433977356588
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1433977356589
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1433977356589
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1433977356590
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1433977356591
os,sysinfo,,,"win32",1433977356594
arch,sysinfo,,,"x86",1433977356594
ws,sysinfo,,,"win32",1433977356594
locale,sysinfo,,,"pt_BR",1433977356594
processors,sysinfo,,,"2",1433977356594
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1433977356594
java.runtime.version,sysinfo,,,"1.8.0_45-b14",1433977356594
java.specification.name,sysinfo,,,"Java Platform API Specification",1433977356594
java.specification.vendor,sysinfo,,,"Oracle Corporation",1433977356594
java.specification.version,sysinfo,,,"1.8",1433977356594
java.vendor,sysinfo,,,"Oracle Corporation",1433977356594
java.version,sysinfo,,,"1.8.0_45",1433977356594
java.vm.info,sysinfo,,,"mixed mode",1433977356594
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1433977356594
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1433977356594
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1433977356594
java.vm.specification.version,sysinfo,,,"1.8",1433977356594
java.vm.vendor,sysinfo,,,"Oracle Corporation",1433977356594
java.vm.version,sysinfo,,,"25.45-b02",1433977356594
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433977358334
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433977358411
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433977358412
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1433977358906
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1433977358922
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1433977360502
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433977360502
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1433977362047
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1433977374306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1433977375374
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1433977375452
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1433977375685
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1433977375686
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1433977375688
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1433977375690
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1433977375708
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1433977375717
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1433977375734
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1433977375734
